id,descripcion,tipo,clasificacion,tipo_red,seccion_completa,jurisdiccion,geojson,geom
18081447,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MALVINASARGENTINAS            ,"{""type"":""LineString"",""coordinates"":[[-58.7427062184904,-34.4723378198671],[-58.7427247483302,-34.472347277495],[-58.7427693682404,-34.4723700514713],[-58.7428064279422,-34.4723889667058],[-58.7465191058476,-34.4742838141078],[-58.7465376365594,-34.4742932711734]]}",0102000020E610000006000000E17953FF105F4DC01B7FD090753C41C00701C49A115F4DC0129926E0753C41C016881011135F4DC0EC56319F763C41C09FA2F147145F4DC00D7FDD3D773C41C02FBA24F08D5F4DC0C04EFF54B53C41C0BB20978B8E5F4DC08D3354A4B53C41C0
18081652,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 350mm2 Pb Yute,SANISIDRO                     ,"{""type"":""LineString"",""coordinates"":[[-58.527763882744,-34.5062238985585],[-58.5277447823887,-34.5062152450312],[-58.5247951157439,-34.5048788247615],[-58.5223923783825,-34.5037823479121],[-58.5223733106261,-34.5037736461341]]}",0102000020E610000005000000A43254C48D434DC09761D8F1CB4041C0417F1A248D434DC0AA1241A9CB4041C03E9C817C2C434DC09A658CDE9F4041C0956AE2C0DD424DC0DA4AA2F07B4041C0A0B8EE20DD424DC0C85DA3A77B4041C0
18081653,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 350mm2 Pb Yute,SANISIDRO                     ,"{""type"":""LineString"",""coordinates"":[[-58.5223733106261,-34.5037736461341],[-58.5223542428736,-34.5037649443622],[-58.5206849184637,-34.5030031116731],[-58.5181649891184,-34.5018554020512],[-58.5181459130413,-34.5018467134832]]}",0102000020E610000005000000A0B8EE20DD424DC0C85DA3A77B4041C0CE08FB80DC424DC01474A45E7B4041C03E29ACCDA5424DC00836ED67624041C00819F93A53424DC0C4903DCC3C4041C0C588F39A52424DC0F5015B833C4041C0
18081656,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 400mm2 Pb PVC,SANISIDRO                     ,"{""type"":""LineString"",""coordinates"":[[-58.5273332878059,-34.5049076982072],[-58.5273141586749,-34.5048990887861],[-58.5259321427249,-34.5042770748117],[-58.5240454318124,-34.5034298159067],[-58.5231276133744,-34.5030173775492],[-58.5231084778752,-34.503008778551]]}",0102000020E610000006000000F49B3CA87F434DC03CA6C1D0A04041C0011DC5077F434DC0EC0E8988A04041C0977594BE51434DC02E38B4268C4041C04EA0B3EB13434DC042936163704041C0ED897BD8F5424DC060F298DF624041C0FE5DF637F5424DC017BD7697624041C0
18081657,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 400mm2 Pb PVC,SANISIDRO                     ,"{""type"":""LineString"",""coordinates"":[[-58.5231084778752,-34.503008778551],[-58.52308934238,-34.5030001795498],[-58.5226633683806,-34.5028087565136],[-58.5216858261035,-34.5023732017024],[-58.5207236291181,-34.5019450473546],[-58.5199311659949,-34.5015774010126],[-58.5185031735033,-34.5009145344954],[-58.5184945427444,-34.5009105280617],[-58.5184755520739,-34.5009017125008]]}",0102000020E610000009000000FE5DF637F5424DC017BD7697624041C044347197F4424DC03286544F624041C082011DA2E6424DC02AAF8E095C4041C05CF3E499C6424DC070D9DBC34D4041C08CA86612A7424DC07A633DBC3F4041C0430FBD1A8D424DC086E132B0334041C0D188DE4F5E424DC0D3DFABF71D4041C0F51E78075E424DC09B1F10D61D4041C06BF729685D424DC0BFD91C8C1D4041C0
18081697,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,GRALSANMARTIN                 ,"{""type"":""LineString"",""coordinates"":[[-58.5640112825193,-34.5354306865512],[-58.5639955760638,-34.5354431751166],[-58.5624061694278,-34.5367069186431],[-58.5582842751879,-34.5400916534532],[-58.5564176292916,-34.5415994187695],[-58.5564020412943,-34.541612009469]]}",0102000020E610000006000000667F8E8531484DC08B0124FE884441C03524CD0131484DC0FEFEE666894441C06661E4ECFC474DC0FB8DF3CFB24441C0CBE6EFDB75474DC04D362AB9214541C0DB5C60B138474DC0E8923721534541C0AD649D2E38474DC02AE5D58A534541C0
18081698,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,GRALSANMARTIN                 ,"{""type"":""LineString"",""coordinates"":[[-58.5564020412943,-34.541612009469],[-58.5563864532922,-34.5416246001664],[-58.5539384952142,-34.5436017841994],[-58.5492693112145,-34.5473562947222],[-58.548647920701,-34.5478476862071],[-58.5486321719282,-34.5478601401098]]}",0102000020E610000006000000AD649D2E38474DC02AE5D58A534541C0E869DAAB37474DC03D3674F4534541C06678E474E7464DC0869746BE944541C0682EF0744E464DC0BB8B64C50F4641C0F43656183A464DC078B97BDF1F4641C085FB399439464DC0DC46F447204641C0
18081699,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,GRALSANMARTIN                 ,"{""type"":""LineString"",""coordinates"":[[-58.5486321719282,-34.5478601401098],[-58.5486164231617,-34.5478725940014],[-58.5456922203259,-34.5501849090465],[-58.5458076099972,-34.5506274058684],[-58.5502520591834,-34.5543896851304],[-58.550267287666,-34.5544025753732]]}",0102000020E61000000600000085FB399439464DC0DC46F447204641C096C31D1039464DC02ECE6CB0204641C09FFD1F3ED9454DC0C48D87756C4641C0456C1506DD454DC0383E76F57A4641C0EA5FD3A86E464DC0FC6FBF3DF64641C0C94A92286F464DC0DF05E1A9F64641C0
18081701,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,GRALSANMARTIN                 ,"{""type"":""LineString"",""coordinates"":[[-58.5640737320903,-34.5354910840921],[-58.5640579841184,-34.5355035367992],[-58.5633642347471,-34.5360521133896],[-58.5569943405609,-34.5412408486885],[-58.5564809687379,-34.5416549132446],[-58.5564653697676,-34.5416674946376]]}",0102000020E61000000600000023EE6B9133484DC0CDBCCAF88A4441C0076B510D33484DC0EFB840618B4441C0CCFCB9511C484DC0DBFA0B5B9D4441C00C622E974B474DC02C305061474541C0ACC9B4C43A474DC0340DBDF2544541C01641DA413A474DC02963475C554541C0
18081702,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,GRALSANMARTIN                 ,"{""type"":""LineString"",""coordinates"":[[-58.5564653697676,-34.5416674946376],[-58.5564497707819,-34.5416800760193],[-58.5505856496415,-34.5464093749494],[-58.5487109562443,-34.5479033642425],[-58.5486952655232,-34.54791586821]]}",0102000020E6100000050000001641DA413A474DC02963475C554541C005B0FFBE39474DC0EEB2D1C5554541C0BC6D2F9779464DC058D10DBEF04541C055031E293C464DC021658BB2214641C03A727EA53B464DC0F1756F1B224641C0
18081703,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,GRALSANMARTIN                 ,"{""type"":""LineString"",""coordinates"":[[-58.5486952655232,-34.54791586821],[-58.5486795748086,-34.5479283721664],[-58.5458043793874,-34.5502195203852],[-58.5458934996099,-34.5505976445332],[-58.5500587372522,-34.5541112729228],[-58.5500739928591,-34.554124141149]]}",0102000020E6100000060000003A727EA53B464DC0F1756F1B224641C09DE4DE213B464DC0B0805384224641C0C8BDFBEADC454DC070D6DE976D4641C036F693D6DF454DC02B43CEFB794641C04CB01F5368464DC02FC6411EED4641C0E5DA18D368464DC05914348AED4641C0
18081776,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7378103828153,-34.7163290792776],[-58.7377985397463,-34.7163139370271],[-58.7368228426227,-34.7150669302699],[-58.7368270873483,-34.7150179030493],[-58.7381476883941,-34.7140548450308],[-58.7381572430564,-34.7140015433368],[-58.7350238999926,-34.7090570540304],[-58.7350137786417,-34.709041083355]]}",0102000020E610000008000000A76B1492705E4DC0EC55D8ABB05B41C0949FBB2E705E4DC0A199D22CB05B41C04A01FE35505E4DC0F2FA2B50875B41C0DD7B9959505E4DC056D3E6B4855B41C0A2A29A9F7B5E4DC0977A2F26665B41C0D01DC1EF7B5E4DC065F60E67645B41C08D1F5E43155E4DC08107AD61C25A41C009B076EE145E4DC0D743B4DBC15A41C0
