id,descripcion,tipo,clasificacion,tipo_red,jurisdiccion,geojson,geom
18076083,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.8051466862944,-34.4826490275503]}",0101000020E6100000050FEF0B0F674DC02A637E71C73D41C0
18076087,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7994343629323,-34.4933620121283]}",0101000020E6100000E70B7EDD53664DC00597857C263F41C0
18076090,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7968216597113,-34.4986801835894]}",0101000020E6100000339A8C40FE654DC008D793C0D43F41C0
18076091,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7961405187528,-34.5000014314918]}",0101000020E61000002888B9EEE7654DC0EF1A020C004041C0
18076092,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7954158683687,-34.5014070252543]}",0101000020E610000071AEEA2FD0654DC0DAB9FB1A2E4041C0
18076093,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7947156445776,-34.5027651883137]}",0101000020E61000004C8A033EB9654DC0FAAF149C5A4041C0
18076096,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7944112451855,-34.5068674037139]}",0101000020E6100000BBD28644AF654DC0042EF507E14041C0
18076099,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7927402288909,-34.5118010763121]}",0101000020E6100000ABA7068378654DC0B6689AB2824141C0
18076100,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7906562801973,-34.514143589829]}",0101000020E610000089E9983934654DC0BCE10775CF4141C0
18076101,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7885609508645,-34.5164987235621]}",0101000020E6100000CA6EB390EF644DC0051053A11C4241C0
18076102,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7864782098161,-34.5188395367664]}",0101000020E61000009C166751AB644DC04B247D55694241C0
18076103,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7843926850483,-34.5211833073938]}",0101000020E610000087C0C0FA66644DC0233D7622B64241C0
18076104,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7823088047016,-34.5235250588516]}",0101000020E610000077C8E5B122644DC0C0337FDE024341C0
18076105,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7801996369873,-34.5258950526952]}",0101000020E6100000119BEA94DD634DC0263A7287504341C0
18077041,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MALVINASARGENTINAS                                                                                                                           ,"{""type"":""Point"",""coordinates"":[-58.7487658556299,-34.4766900026255]}",0101000020E610000061253F8FD75F4DC0AECD912D043D41C0
18077258,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,LAMATANZA                                                                                                                                    ,"{""type"":""Point"",""coordinates"":[-58.7056415463292,-34.8626816220689]}",0101000020E610000069175276525A4DC0B7D2F4596C6E41C0
18077259,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,LAMATANZA                                                                                                                                    ,"{""type"":""Point"",""coordinates"":[-58.706464225065,-34.8633649606024]}",0101000020E61000005739736B6D5A4DC05F2637BE826E41C0
18077260,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,LAMATANZA                                                                                                                                    ,"{""type"":""Point"",""coordinates"":[-58.7073006120547,-34.8640596685052]}",0101000020E61000009E9B92D3885A4DC0DE02D981996E41C0
18077307,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7224468092297,-34.7317863241638]}",0101000020E6100000D65E1523795C4DC0C8F89C2CAB5D41C0
18077308,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7217335734116,-34.7311747547888]}",0101000020E6100000301D07C4615C4DC043BD6522975D41C0
18077309,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7210472749504,-34.7305862707769]}",0101000020E61000001964F0464B5C4DC056F2D5D9835D41C0
18077310,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7203658478051,-34.7300019518795]}",0101000020E610000034BDB6F2345C4DC05DAB36B4705D41C0
18077311,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7196710304154,-34.7294061387185]}",0101000020E6100000A9C1292E1E5C4DC01AA62B2E5D5D41C0
18077312,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7189639988299,-34.7287998390782]}",0101000020E6100000E7FC2603075C4DC0DD152950495D41C0
18077313,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7183791595281,-34.7282983131213]}",0101000020E610000089262AD9F35B4DC0434B0EE1385D41C0
18077314,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7177625172871,-34.7277695052466]}",0101000020E61000007D0565A4DF5B4DC0B607188D275D41C0
18077315,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7170729390228,-34.7271781388255]}",0101000020E610000085F9CA0BC95B4DC0934F5A2C145D41C0
18077316,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7163922026841,-34.7265943430957]}",0101000020E61000009DD15CBDB25B4DC000871E0B015D41C0
18077317,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7157768972596,-34.7260666503595]}",0101000020E6100000277BCE939E5B4DC0580183C0EF5C41C0
18077318,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7151286574909,-34.725510702291]}",0101000020E61000008B2DFA55895B4DC0789EE188DD5C41C0
18077319,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7145065589347,-34.7249771635294]}",0101000020E610000077B36FF3745B4DC058DA3B0DCC5C41C0
18077320,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7138918722116,-34.7244499717612]}",0101000020E6100000B30312CF605B4DC0B226D4C6BA5C41C0
18077321,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7132099458531,-34.723865099993]}",0101000020E6100000794FA8764A5B4DC0C797919CA75C41C0
18077322,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7125157452907,-34.7232696887102]}",0101000020E610000053F447B7335B4DC06199E519945C41C0
18077323,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7118577679161,-34.7227053344384]}",0101000020E6100000344DC4271E5B4DC06607C09B815C41C0
18077324,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7111973560028,-34.7221388809094]}",0101000020E61000004C84D483085B4DC08556FE0B6F5C41C0
18077325,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7105172118987,-34.7215554908748]}",0101000020E6100000CF2C5E3AF25A4DC042C729EE5B5C41C0
18077326,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7098325847733,-34.7209682436072]}",0101000020E6100000499E4CCBDB5A4DC0AEDFF9AF485C41C0
18077327,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7091517946271,-34.7203842756616]}",0101000020E61000005DE96A7CC55A4DC07B424C8D355C41C0
18077328,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.708465459326,-34.7197955392018]}",0101000020E6100000541305FFAE5A4DC0D0569E42225C41C0
18077331,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7069479351779,-34.7198054021638]}",0101000020E61000002AC81A457D5A4DC08FE35A95225C41C0
18077332,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7062451061354,-34.7203516540267]}",0101000020E6100000E6E7583D665A4DC007D5A57B345C41C0
18077333,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7055448974869,-34.7208958578546]}",0101000020E61000007548924B4F5A4DC05DA7C250465C41C0
18077334,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7048381065156,-34.7214451659104]}",0101000020E6100000C63A9422385A4DC0A5B8B050585C41C0
18077335,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7041402263432,-34.7219875372348]}",0101000020E610000093F85544215A4DC085456E166A5C41C0
18077336,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7034392543922,-34.7225322999892]}",0101000020E6100000282B284C0A5A4DC0F5603BF07B5C41C0
18077337,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7027356647985,-34.7230790855621]}",0101000020E61000006905053EF3594DC0927400DB8D5C41C0
18077338,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7020481593008,-34.7236133604806]}",0101000020E6100000F834CEB6DC594DC03F1BD35C9F5C41C0
18077339,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7013517420287,-34.7241545497126]}",0101000020E6100000BF80D5E4C5594DC0EE21A618B15C41C0
18077346,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7149072422257,-34.7369664742079]}",0101000020E610000034849C14825B4DC0597CDCEA545E41C0
18077347,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7142149012746,-34.7363765458592]}",0101000020E610000025A5D5646B5B4DC0D7002F96415E41C0
18077348,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.713525528585,-34.7357891346243]}",0101000020E61000001B11F5CD545B4DC050FB9E562E5E41C0
18077349,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7128403239667,-34.7352052630417]}",0101000020E6100000795A0B5A3E5B4DC0414EC0341B5E41C0
18077350,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7121370165423,-34.7346059534424]}",0101000020E6100000F828464E275B4DC0B4BD6091075E41C0
18077351,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7114198266285,-34.733994801236]}",0101000020E61000003D8C0CCE0F5B4DC0115FA98AF35D41C0
18077352,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7107838800315,-34.7334528694726]}",0101000020E61000002EA157F7FA5A4DC069C59BC8E15D41C0
18077353,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7100881555546,-34.7328599853228]}",0101000020E610000026B12E2BE45A4DC00FC1225BCE5D41C0
18077354,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7093685808235,-34.732246763476]}",0101000020E610000031B9F396CC5A4DC097DD0E43BA5D41C0
18077355,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7086663423457,-34.7316483029431]}",0101000020E61000004E132694B55A4DC03DA8CEA6A65D41C0
18077356,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7079965325284,-34.7310774670502]}",0101000020E61000000E7260A19F5A4DC058E949F2935D41C0
18077357,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7073166084705,-34.7304979998056]}",0101000020E610000039A6C259895A4DC0B47A5DF5805D41C0
18077358,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7066154300213,-34.7299004061586]}",0101000020E61000003365D95F725A4DC0E4E462606D5D41C0
18077359,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7059140996252,-34.7293026705375]}",0101000020E610000071D6A9645B5A4DC0086C37CA595D41C0
18077360,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7051656365937,-34.72866475059]}",0101000020E610000072B719DE425A4DC01FC4F4E2445D41C0
18077361,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7044643687885,-34.7280670425339]}",0101000020E61000006D9270E32B5A4DC0447D044D315D41C0
