id,descripcion,tipo,clasificacion,tipo_red,jurisdiccion,geojson,geom
18077102,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ESCOBAR                                                                                                                                              ,"{""type"":""Point"",""coordinates"":[-58.7545989374021,-34.3765240943011]}",0101000020E610000082DEAEB296604DC0F69607F1313041C0
18077109,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ESCOBAR                                                                                                                                              ,"{""type"":""Point"",""coordinates"":[-58.7551025174439,-34.375880923853]}",0101000020E610000045C60433A7604DC0C491B9DD1C3041C0
18077302,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7232058881086,-34.7327900111511]}",0101000020E6100000B7D9B202925C4DC0625D2610CC5D41C0
19381111,Punto de Conex. Cruz,ACRZ,S,AT Geografico,LAMATANZA                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6840803240741,-34.877758233222]}",0101000020E610000026DEADF18F574DC0D8BDBC615A7041C0
27325169,Punto de Conex. Cruz,ACRZ,S,AT Geografico,JOSECPAZ                                                                                                                                             ,"{""type"":""Point"",""coordinates"":[-58.7649778967247,-34.5417550918432]}",0101000020E6100000384CB4CBEA614DC041F4183B584541C0
27358587,Punto de Conex. Cruz,ACRZ,S,AT Geografico,JOSECPAZ                                                                                                                                             ,"{""type"":""Point"",""coordinates"":[-58.7651571610208,-34.5416291452169]}",0101000020E610000032717BABF0614DC02FA2941A544541C0
27471115,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7400408225219,-34.6688622356369]}",0101000020E6100000E1375DA8B95E4DC07ECB19479D5541C0
27474508,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7341726721122,-34.666181666943]}",0101000020E61000005D2BC05EF95D4DC0825BDC70455541C0
27474509,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7353428460793,-34.6637631399969]}",0101000020E610000008A1E1B61F5E4DC0DB49C930F65441C0
27474512,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7158982747268,-34.6529448219165]}",0101000020E6100000769BFE8DA25B4DC0A91C28B2935341C0
27474514,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7120442860345,-34.6490217489423]}",0101000020E61000002DE96444245B4DC0CF0C0925135341C0
27474516,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6781209448587,-34.6330995504326]}",0101000020E61000005173C8AACC564DC0311CF467095141C0
27474517,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6744946220454,-34.6359271095701]}",0101000020E6100000AC81FBD655564DC02D1F3D0F665141C0
27499316,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7405405345991,-34.6654227297847]}",0101000020E610000095BB4008CA5E4DC057386F922C5541C0
