id,descripcion,tipo,clasificacion,tipo_red,jurisdiccion,geojson,geom
18091459,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4864527596678,-34.5607848961762]}",0101000020E610000041E98215443E4DC06C95AACCC74741C0
18091460,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.486356677624,-34.5609263535391]}",0101000020E61000000F4B84EF403E4DC01FF54B6FCC4741C0
18093500,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4499249824612,-34.5527666357178]}",0101000020E61000007EA94E2497394DC02A5D9F0EC14641C0
18093501,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4498447029518,-34.5527200481025]}",0101000020E610000076BADF8294394DC0C738D187BF4641C0
18094939,Entrada AT,TEAT,S,AT Geografico,SANISIDRO                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5134723822873,-34.4696622841456]}",0101000020E61000005AA98876B9414DC0FC48CBE41D3C41C0
18094940,Entrada AT,TEAT,S,AT Geografico,SANISIDRO                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5134073741964,-34.4697159603995]}",0101000020E610000070D93455B7414DC09F2910A71F3C41C0
18094941,Entrada AT,TEAT,S,AT Geografico,SANISIDRO                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5133423660224,-34.4697696366072]}",0101000020E6100000D6DBE033B5414DC0DAF05469213C41C0
18094942,Entrada AT,TEAT,S,AT Geografico,SANISIDRO                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.513277357776,-34.4698233127778]}",0101000020E610000070B68C12B3414DC0B3A3992B233C41C0
18101922,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4224689988528,-34.5822362990667]}",0101000020E6100000C3D2D27613364DC08E8413B8864A41C0
18101923,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4223580341459,-34.5823162167055]}",0101000020E610000001EEFBD30F364DC020577956894A41C0
18110409,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4604636863319,-34.5635093566262]}",0101000020E610000043E55C79F03A4DC08AD91813214841C0
18110410,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4602862415436,-34.5637234887933]}",0101000020E6100000441DD9A8EA3A4DC05C2D5E17284841C0
18116305,Entrada AT,TEAT,S,AT Geografico,VICENTELOPEZ                                                                                                                                                   ,"{""type"":""Point"",""coordinates"":[-58.5232567542109,-34.5443611231481]}",0101000020E6100000A25FCB13FA424DC0439112A0AD4541C0
18116306,Entrada AT,TEAT,S,AT Geografico,VICENTELOPEZ                                                                                                                                                   ,"{""type"":""Point"",""coordinates"":[-58.5228888859592,-34.5441875513051]}",0101000020E61000007B51E405EE424DC073DF0BF0A74541C0
